Comment Text,Comment Language,Comment Like Count,Author Nickname,video_type,comment_date,video_id
so cool ❤️,en,0,user_9642,Food & Cooking,2025-08-06T10:00:00+00:00,7700000000004000000
obsessed 😂,en,21,user_7836,Food & Cooking,2025-08-06T23:00:00+00:00,7700000000004000000
make a video about african restaurants in berlin,en,1,user_6782,Food & Cooking,2025-08-06T16:00:00+00:00,7700000000004000000
the food looks amazing,en,0,user_3679,Food & Cooking,2025-08-04T08:00:00+00:00,7700000000004000000
teach me cooking this,en,0,user_4322,Food & Cooking,2025-08-06T23:00:00+00:00,7700000000004000000
the food looks amazing,en,3,user_1910,Food & Cooking,2025-08-03T19:00:00+00:00,7700000000004000000
make a video about african restaurants in berlin,en,9,user_6107,Food & Cooking,2025-08-05T08:00:00+00:00,7700000000004000000
👏👏,en,0,user_6322,Food & Cooking,2025-08-04T15:00:00+00:00,7700000000004000000
wow,en,0,user_5072,Food & Cooking,2025-08-04T17:00:00+00:00,7700000000004000000
make a video about african restaurants in berlin,en,3,user_2002,Food & Cooking,2025-08-03T16:00:00+00:00,7700000000004000000
what restaurant is this,en,0,user_4680,Food & Cooking,2025-08-06T23:00:00+00:00,7700000000004000000
goals,en,0,user_1314,Food & Cooking,2025-08-06T08:00:00+00:00,7700000000004000000
teach me cooking this,en,1,user_6681,Food & Cooking,2025-08-04T12:00:00+00:00,7700000000004000000
chef vibes,en,0,user_4246,Food & Cooking,2025-08-03T23:00:00+00:00,7700000000004000000
this is making me homesick,en,5,user_1322,Food & Cooking,2025-08-04T08:00:00+00:00,7700000000004000000
no way 🔥,en,24,user_6082,Food & Cooking,2025-08-05T14:00:00+00:00,7700000000004000000
im hungry now thanks 🤩🔥,en,0,user_7132,Food & Cooking,2025-08-03T13:00:00+00:00,7700000000004000000
jollof supremacy ❤️,en,0,user_2189,Food & Cooking,2025-08-04T01:00:00+00:00,7700000000004000000
the audio is a bit low on this one,en,0,user_9754,Food & Cooking,2025-08-06T04:00:00+00:00,7700000000004000001
🤩✨,en,19,user_1857,Food & Cooking,2025-08-08T16:00:00+00:00,7700000000004000001
obsessed,en,0,user_2166,Food & Cooking,2025-08-07T11:00:00+00:00,7700000000004000001
im hungry now thanks,en,0,user_2435,Food & Cooking,2025-08-06T11:00:00+00:00,7700000000004000001
cook egusi next please,en,0,user_8967,Food & Cooking,2025-08-06T17:00:00+00:00,7700000000004000001
omg,en,3,user_6656,Food & Cooking,2025-08-08T19:00:00+00:00,7700000000004000001
teach me cooking this,en,0,user_5160,Food & Cooking,2025-08-06T03:00:00+00:00,7700000000004000001
this is making me homesick,en,0,user_9146,Food & Cooking,2025-08-06T09:00:00+00:00,7700000000004000001
recipe please,en,0,user_4778,Food & Cooking,2025-08-07T17:00:00+00:00,7700000000004000001
my mouth is watering,en,24,user_5030,Food & Cooking,2025-08-06T23:00:00+00:00,7700000000004000001
jollof supremacy 😍😂,en,3,user_6974,Food & Cooking,2025-08-06T03:00:00+00:00,7700000000004000001
what restaurant is this 😭,en,6,user_1680,Food & Cooking,2025-08-09T20:00:00+00:00,7700000000004000001
