Comment Text,Comment Language,Comment Like Count,Author Nickname,video_type,comment_date,video_id
fire track,en,0,user_7655,Engagement / Growth,2025-08-07T10:00:00+00:00,7700000000001000000
bars,en,15,user_8179,Engagement / Growth,2025-08-05T23:00:00+00:00,7700000000001000000
lol,en,2,user_6933,Engagement / Growth,2025-08-04T05:00:00+00:00,7700000000001000000
fire track,en,3,user_8371,Engagement / Growth,2025-08-06T02:00:00+00:00,7700000000001000000
drop the full track,en,0,user_9674,Engagement / Growth,2025-08-06T00:00:00+00:00,7700000000001000000
do a remix with afrobeats,en,0,user_2858,Engagement / Growth,2025-08-05T23:00:00+00:00,7700000000001000000
chorus stuck in my head,en,0,user_2929,Engagement / Growth,2025-08-04T04:00:00+00:00,7700000000001000000
chorus stuck in my head,en,0,user_5678,Engagement / Growth,2025-08-05T10:00:00+00:00,7700000000001000000
chorus stuck in my head,en,0,user_3223,Engagement / Growth,2025-08-07T17:00:00+00:00,7700000000001000000
camera is shaky here,en,21,user_6692,Engagement / Growth,2025-08-04T10:00:00+00:00,7700000000001000000
so cool,en,0,user_5914,Engagement / Growth,2025-08-07T19:00:00+00:00,7700000000001000000
bars,en,3,user_4673,Engagement / Growth,2025-08-04T21:00:00+00:00,7700000000001000000
bars,en,0,user_9094,Engagement / Growth,2025-08-04T16:00:00+00:00,7700000000001000000
put this on streaming please,en,0,user_3126,Engagement / Growth,2025-08-04T04:00:00+00:00,7700000000001000000
this beat is hard,en,0,user_8842,Engagement / Growth,2025-08-07T07:00:00+00:00,7700000000001000000
spit more bars like this,en,1,user_3053,Engagement / Growth,2025-08-06T20:00:00+00:00,7700000000001000000
chorus stuck in my head,en,0,user_9476,Engagement / Growth,2025-08-05T17:00:00+00:00,7700000000001000000
so cool,en,1,user_3114,Engagement / Growth,2025-08-05T21:00:00+00:00,7700000000001000000
fire track,en,3,user_3507,Engagement / Growth,2025-08-06T08:00:00+00:00,7700000000001000000
love,en,5,user_6669,Engagement / Growth,2025-08-05T15:00:00+00:00,7700000000001000000
this beat is hard,en,0,user_5496,Engagement / Growth,2025-08-06T19:00:00+00:00,7700000000001000000
underrated fr,en,0,user_3762,Engagement / Growth,2025-08-04T17:00:00+00:00,7700000000001000000
yes,en,0,user_5336,Engagement / Growth,2025-08-11T01:00:00+00:00,7700000000001000001
obsessed,en,0,user_1496,Engagement / Growth,2025-08-11T12:00:00+00:00,7700000000001000001
underrated fr,en,0,user_5949,Engagement / Growth,2025-08-10T16:00:00+00:00,7700000000001000001
no way,en,0,user_8430,Engagement / Growth,2025-08-10T14:00:00+00:00,7700000000001000001
bars,en,0,user_8933,Engagement / Growth,2025-08-08T10:00:00+00:00,7700000000001000001
obsessed,en,0,user_6231,Engagement / Growth,2025-08-10T12:00:00+00:00,7700000000001000001
mad talent,en,15,user_7070,Engagement / Growth,2025-08-11T22:00:00+00:00,7700000000001000001
mad talent,en,0,user_3007,Engagement / Growth,2025-08-10T18:00:00+00:00,7700000000001000001
when is the album coming,en,0,user_5754,Engagement / Growth,2025-08-09T11:00:00+00:00,7700000000001000001
put this on spotify now,en,0,user_3616,Engagement / Growth,2025-08-10T02:00:00+00:00,7700000000001000001
mad talent,en,0,user_3610,Engagement / Growth,2025-08-09T18:00:00+00:00,7700000000001000001
chorus stuck in my head,en,0,user_6055,Engagement / Growth,2025-08-10T16:00:00+00:00,7700000000001000001
fire,en,0,user_4944,Engagement / Growth,2025-08-10T16:00:00+00:00,7700000000001000001
fire track,en,0,user_9108,Engagement / Growth,2025-08-09T04:00:00+00:00,7700000000001000001
chorus stuck in my head,en,0,user_1133,Engagement / Growth,2025-08-11T05:00:00+00:00,7700000000001000001
do a remix with afrobeats,en,2,user_6995,Engagement / Growth,2025-08-08T14:00:00+00:00,7700000000001000001
put this on streaming please,en,0,user_6939,Engagement / Growth,2025-08-08T06:00:00+00:00,7700000000001000001
spit more bars like this,en,0,user_5582,Engagement / Growth,2025-08-10T23:00:00+00:00,7700000000001000001
this beat is hard,en,0,user_2584,Engagement / Growth,2025-08-11T08:00:00+00:00,7700000000001000001
do a remix with afrobeats,en,0,user_6990,Engagement / Growth,2025-08-10T03:00:00+00:00,7700000000001000001
so cool,en,0,user_1659,Engagement / Growth,2025-08-08T19:00:00+00:00,7700000000001000001
this made my day,en,0,user_8761,Engagement / Growth,2025-08-08T06:00:00+00:00,7700000000001000001
the music is louder than your voice,en,5,user_6373,Engagement / Growth,2025-08-10T19:00:00+00:00,7700000000001000001
underrated fr,en,0,user_5911,Engagement / Growth,2025-08-12T20:00:00+00:00,7700000000001000002
mad talent,en,0,user_2795,Engagement / Growth,2025-08-13T13:00:00+00:00,7700000000001000002
fire track,en,0,user_5350,Engagement / Growth,2025-08-13T06:00:00+00:00,7700000000001000002
flow is crazy,en,3,user_8871,Engagement / Growth,2025-08-14T12:00:00+00:00,7700000000001000002
put this on spotify now,en,0,user_4968,Engagement / Growth,2025-08-11T22:00:00+00:00,7700000000001000002
this beat is hard,en,0,user_8225,Engagement / Growth,2025-08-11T05:00:00+00:00,7700000000001000002
spit more bars like this,en,2,user_9221,Engagement / Growth,2025-08-12T17:00:00+00:00,7700000000001000002
fire track,en,3,user_4397,Engagement / Growth,2025-08-14T07:00:00+00:00,7700000000001000002
spit more bars like this,en,0,user_6140,Engagement / Growth,2025-08-14T00:00:00+00:00,7700000000001000002
the music is louder than your voice,en,0,user_6804,Engagement / Growth,2025-08-11T23:00:00+00:00,7700000000001000002
this one different,en,1,user_5038,Engagement / Growth,2025-08-14T15:00:00+00:00,7700000000001000002
flow is crazy,en,6,user_5735,Engagement / Growth,2025-08-12T12:00:00+00:00,7700000000001000002
this made my day,en,0,user_8861,Engagement / Growth,2025-08-14T19:00:00+00:00,7700000000001000002
this one different,en,0,user_9899,Engagement / Growth,2025-08-12T21:00:00+00:00,7700000000001000002
put this on spotify now,en,1,user_5758,Engagement / Growth,2025-08-13T01:00:00+00:00,7700000000001000002
drop the full track,en,0,user_8247,Engagement / Growth,2025-08-11T06:00:00+00:00,7700000000001000002
goals,en,0,user_9824,Engagement / Growth,2025-08-14T12:00:00+00:00,7700000000001000002
this one different,en,0,user_4920,Engagement / Growth,2025-08-12T11:00:00+00:00,7700000000001000002
so cool,en,0,user_4814,Engagement / Growth,2025-08-12T08:00:00+00:00,7700000000001000002
love,en,1,user_3252,Engagement / Growth,2025-08-11T07:00:00+00:00,7700000000001000002
bars,en,0,user_8793,Engagement / Growth,2025-08-11T01:00:00+00:00,7700000000001000002
this one different,en,0,user_1969,Engagement / Growth,2025-08-13T14:00:00+00:00,7700000000001000002
flow is crazy,en,0,user_1611,Engagement / Growth,2025-08-11T12:00:00+00:00,7700000000001000002
when is the album coming,en,4,user_7504,Engagement / Growth,2025-08-11T23:00:00+00:00,7700000000001000002
this made my day,en,20,user_1613,Engagement / Growth,2025-08-13T16:00:00+00:00,7700000000001000002
put this on streaming please,en,0,user_6489,Engagement / Growth,2025-08-11T02:00:00+00:00,7700000000001000002
the music is louder than your voice,en,0,user_3198,Engagement / Growth,2025-08-12T13:00:00+00:00,7700000000001000002
the captions are hard to read,en,1,user_6523,Engagement / Growth,2025-08-17T22:00:00+00:00,7700000000001000003
flow is crazy,en,0,user_7643,Engagement / Growth,2025-08-15T14:00:00+00:00,7700000000001000003
this beat is hard,en,0,user_2562,Engagement / Growth,2025-08-16T07:00:00+00:00,7700000000001000003
chorus stuck in my head,en,0,user_5064,Engagement / Growth,2025-08-15T00:00:00+00:00,7700000000001000003
lol,en,0,user_5374,Engagement / Growth,2025-08-14T01:00:00+00:00,7700000000001000003
put this on streaming please,en,0,user_6890,Engagement / Growth,2025-08-15T19:00:00+00:00,7700000000001000003
no way,en,0,user_6026,Engagement / Growth,2025-08-17T17:00:00+00:00,7700000000001000003
put this on streaming please,en,9,user_6095,Engagement / Growth,2025-08-14T21:00:00+00:00,7700000000001000003
same,en,0,user_4618,Engagement / Growth,2025-08-17T17:00:00+00:00,7700000000001000003
chorus stuck in my head,en,0,user_7121,Engagement / Growth,2025-08-15T05:00:00+00:00,7700000000001000003
chorus stuck in my head,en,3,user_4578,Engagement / Growth,2025-08-16T06:00:00+00:00,7700000000001000003
this beat is hard,en,0,user_9653,Engagement / Growth,2025-08-15T08:00:00+00:00,7700000000001000003
put this on streaming please,en,0,user_9972,Engagement / Growth,2025-08-17T19:00:00+00:00,7700000000001000003
so cool,en,0,user_6375,Engagement / Growth,2025-08-16T17:00:00+00:00,7700000000001000003
when is the album coming,en,2,user_2489,Engagement / Growth,2025-08-16T19:00:00+00:00,7700000000001000003
drop the full track,en,0,user_9409,Engagement / Growth,2025-08-16T18:00:00+00:00,7700000000001000003
the audio is a bit low on this one,en,0,user_6049,Engagement / Growth,2025-08-16T06:00:00+00:00,7700000000001000003
same,en,3,user_4570,Engagement / Growth,2025-08-17T21:00:00+00:00,7700000000001000003
fire,en,0,user_2044,Engagement / Growth,2025-08-17T03:00:00+00:00,7700000000001000003
this beat is hard,en,26,user_1519,Engagement / Growth,2025-08-16T22:00:00+00:00,7700000000001000003
spit more bars like this,en,0,user_7184,Engagement / Growth,2025-08-20T06:00:00+00:00,7700000000001000004
no way,en,5,user_6697,Engagement / Growth,2025-08-20T01:00:00+00:00,7700000000001000004
so cool,en,0,user_3086,Engagement / Growth,2025-08-18T16:00:00+00:00,7700000000001000004
fire track,en,2,user_8585,Engagement / Growth,2025-08-21T22:00:00+00:00,7700000000001000004
put this on spotify now,en,0,user_4762,Engagement / Growth,2025-08-21T15:00:00+00:00,7700000000001000004
video is too short make it longer,en,0,user_2848,Engagement / Growth,2025-08-19T08:00:00+00:00,7700000000001000004
put this on spotify now,en,1,user_4943,Engagement / Growth,2025-08-18T05:00:00+00:00,7700000000001000004
obsessed,en,0,user_1797,Engagement / Growth,2025-08-19T03:00:00+00:00,7700000000001000004
put this on spotify now,en,0,user_9843,Engagement / Growth,2025-08-19T08:00:00+00:00,7700000000001000004
fire track,en,0,user_5739,Engagement / Growth,2025-08-19T04:00:00+00:00,7700000000001000004
mad talent,en,0,user_6253,Engagement / Growth,2025-08-19T06:00:00+00:00,7700000000001000004
when is the album coming,en,27,user_4621,Engagement / Growth,2025-08-19T07:00:00+00:00,7700000000001000004
drop the full track,en,0,user_3869,Engagement / Growth,2025-08-20T05:00:00+00:00,7700000000001000004
underrated fr,en,0,user_6642,Engagement / Growth,2025-08-21T09:00:00+00:00,7700000000001000004
underrated fr,en,0,user_7821,Engagement / Growth,2025-08-21T11:00:00+00:00,7700000000001000004
fire,en,0,user_9813,Engagement / Growth,2025-08-20T05:00:00+00:00,7700000000001000004
lol,en,0,user_3365,Engagement / Growth,2025-08-20T13:00:00+00:00,7700000000001000004
underrated fr,en,0,user_7824,Engagement / Growth,2025-08-20T12:00:00+00:00,7700000000001000004
put this on spotify now,en,0,user_4331,Engagement / Growth,2025-08-21T00:00:00+00:00,7700000000001000004
chorus stuck in my head,en,1,user_9775,Engagement / Growth,2025-08-19T19:00:00+00:00,7700000000001000004
fire track,en,0,user_1647,Engagement / Growth,2025-08-21T21:00:00+00:00,7700000000001000004
obsessed,en,3,user_4555,Engagement / Growth,2025-08-18T10:00:00+00:00,7700000000001000004
love,en,0,user_1251,Engagement / Growth,2025-08-20T14:00:00+00:00,7700000000001000004
this beat is hard,en,2,user_4974,Engagement / Growth,2025-08-19T04:00:00+00:00,7700000000001000004
flow is crazy,en,0,user_4921,Engagement / Growth,2025-08-21T18:00:00+00:00,7700000000001000004
do a remix with afrobeats,en,0,user_9743,Engagement / Growth,2025-08-20T23:00:00+00:00,7700000000001000004
do a remix with afrobeats,en,0,user_9147,Engagement / Growth,2025-08-21T12:00:00+00:00,7700000000001000004
this made my day,en,0,user_6246,Engagement / Growth,2025-08-20T12:00:00+00:00,7700000000001000004
so cool,en,8,user_7841,Engagement / Growth,2025-08-20T19:00:00+00:00,7700000000001000005
love,en,0,user_5026,Engagement / Growth,2025-08-21T14:00:00+00:00,7700000000001000005
mad talent,en,0,user_9005,Engagement / Growth,2025-08-22T16:00:00+00:00,7700000000001000005
chorus stuck in my head,en,0,user_6770,Engagement / Growth,2025-08-23T21:00:00+00:00,7700000000001000005
so cool,en,0,user_9882,Engagement / Growth,2025-08-20T22:00:00+00:00,7700000000001000005
underrated fr,en,0,user_2217,Engagement / Growth,2025-08-23T11:00:00+00:00,7700000000001000005
yes,en,0,user_4791,Engagement / Growth,2025-08-23T14:00:00+00:00,7700000000001000005
fire track,en,0,user_8471,Engagement / Growth,2025-08-20T09:00:00+00:00,7700000000001000005
no way,en,3,user_8916,Engagement / Growth,2025-08-22T00:00:00+00:00,7700000000001000005
the audio is a bit low on this one,en,0,user_7739,Engagement / Growth,2025-08-23T13:00:00+00:00,7700000000001000005
this made my day,en,0,user_5697,Engagement / Growth,2025-08-20T02:00:00+00:00,7700000000001000005
put this on spotify now,en,1,user_2753,Engagement / Growth,2025-08-20T03:00:00+00:00,7700000000001000005
flow is crazy,en,0,user_9625,Engagement / Growth,2025-08-20T13:00:00+00:00,7700000000001000005
this one different,en,1,user_7112,Engagement / Growth,2025-08-21T09:00:00+00:00,7700000000001000005
video is too short make it longer,en,18,user_5914,Engagement / Growth,2025-08-22T04:00:00+00:00,7700000000001000005
this beat is hard,en,3,user_1519,Engagement / Growth,2025-08-23T16:00:00+00:00,7700000000001000005
spit more bars like this,en,0,user_1919,Engagement / Growth,2025-08-20T12:00:00+00:00,7700000000001000005
omg,en,0,user_8109,Engagement / Growth,2025-08-23T10:00:00+00:00,7700000000001000005
this beat is hard,en,4,user_4764,Engagement / Growth,2025-08-23T11:00:00+00:00,7700000000001000005
