Comment Text,Comment Language,Comment Like Count,Author Nickname,video_type,comment_date,video_id
east african pride,en,0,user_8837,Engagement / Growth,2025-08-05T23:00:00+00:00,7700000000003000000
kenya to the world,en,0,user_1928,Engagement / Growth,2025-08-07T07:00:00+00:00,7700000000003000000
this made my day 🤩,en,0,user_4781,Engagement / Growth,2025-08-04T23:00:00+00:00,7700000000003000000
kenya to the world 😍🔥,en,0,user_3159,Engagement / Growth,2025-08-07T23:00:00+00:00,7700000000003000000
obsessed,en,10,user_1268,Engagement / Growth,2025-08-04T06:00:00+00:00,7700000000003000000
video is too short make it longer,en,1,user_5795,Engagement / Growth,2025-08-04T12:00:00+00:00,7700000000003000000
east african pride,en,7,user_5242,Engagement / Growth,2025-08-04T07:00:00+00:00,7700000000003000000
amazing moves,en,26,user_9113,Engagement / Growth,2025-08-07T13:00:00+00:00,7700000000003000000
amazing moves 🤩,en,0,user_6894,Engagement / Growth,2025-08-05T18:00:00+00:00,7700000000003000000
you ate this,en,0,user_8686,Engagement / Growth,2025-08-07T10:00:00+00:00,7700000000003000000
👏👏,en,4,user_3947,Engagement / Growth,2025-08-07T09:00:00+00:00,7700000000003000000
teach me this dance,en,0,user_6623,Engagement / Growth,2025-08-04T20:00:00+00:00,7700000000003000000
what song is this,en,9,user_3415,Engagement / Growth,2025-08-06T02:00:00+00:00,7700000000003000000
video is too short make it longer,en,1,user_4052,Engagement / Growth,2025-08-05T08:00:00+00:00,7700000000003000000
omg,en,0,user_8502,Engagement / Growth,2025-08-04T13:00:00+00:00,7700000000003000000
this made my day,en,0,user_1819,Engagement / Growth,2025-08-06T18:00:00+00:00,7700000000003000000
east african pride,en,0,user_8941,Engagement / Growth,2025-08-07T14:00:00+00:00,7700000000003000000
kenya to the world,en,0,user_3474,Engagement / Growth,2025-08-05T14:00:00+00:00,7700000000003000000
so cool,en,0,user_6215,Engagement / Growth,2025-08-05T22:00:00+00:00,7700000000003000000
kenya to the world 😍,en,0,user_9064,Engagement / Growth,2025-08-07T23:00:00+00:00,7700000000003000000
the rhythm is unreal 😍🔥,en,5,user_3364,Engagement / Growth,2025-08-06T02:00:00+00:00,7700000000003000000
do a slow breakdown of the steps,en,2,user_7266,Engagement / Growth,2025-08-04T15:00:00+00:00,7700000000003000000
the rhythm is unreal,en,0,user_8255,Engagement / Growth,2025-08-08T22:00:00+00:00,7700000000003000001
do a slow breakdown of the steps,en,0,user_6416,Engagement / Growth,2025-08-06T03:00:00+00:00,7700000000003000001
yes,en,0,user_7130,Engagement / Growth,2025-08-06T02:00:00+00:00,7700000000003000001
kenya to the world,en,0,user_6131,Engagement / Growth,2025-08-09T07:00:00+00:00,7700000000003000001
amazing moves,en,1,user_7508,Engagement / Growth,2025-08-07T01:00:00+00:00,7700000000003000001
the rhythm is unreal 😭❤️,en,0,user_9159,Engagement / Growth,2025-08-08T07:00:00+00:00,7700000000003000001
tutorial for this choreo please 👏🔥,en,0,user_7543,Engagement / Growth,2025-08-08T13:00:00+00:00,7700000000003000001
the rhythm is unreal,en,0,user_7043,Engagement / Growth,2025-08-07T21:00:00+00:00,7700000000003000001
the rhythm is unreal 😍✨,en,10,user_7725,Engagement / Growth,2025-08-09T02:00:00+00:00,7700000000003000001
🤩✨,en,0,user_7590,Engagement / Growth,2025-08-07T04:00:00+00:00,7700000000003000001
do a slow breakdown of the steps,en,3,user_7694,Engagement / Growth,2025-08-07T06:00:00+00:00,7700000000003000001
energy is unmatched 🔥,en,0,user_6492,Engagement / Growth,2025-08-06T23:00:00+00:00,7700000000003000001
👏👏,en,0,user_6564,Engagement / Growth,2025-08-09T13:00:00+00:00,7700000000003000001
lol 🔥,en,0,user_4677,Engagement / Growth,2025-08-06T13:00:00+00:00,7700000000003000001
east african pride,en,0,user_3487,Engagement / Growth,2025-08-09T19:00:00+00:00,7700000000003000001
the rhythm is unreal,en,0,user_5850,Engagement / Growth,2025-08-06T13:00:00+00:00,7700000000003000001
east african pride,en,0,user_8134,Engagement / Growth,2025-08-08T18:00:00+00:00,7700000000003000001
do a slow breakdown of the steps,en,0,user_1138,Engagement / Growth,2025-08-08T22:00:00+00:00,7700000000003000001
east african pride,en,0,user_9802,Engagement / Growth,2025-08-06T14:00:00+00:00,7700000000003000001
what song is this,en,3,user_1015,Engagement / Growth,2025-08-06T08:00:00+00:00,7700000000003000001
the rhythm is unreal,en,0,user_9156,Engagement / Growth,2025-08-06T06:00:00+00:00,7700000000003000001
amazing moves 👏💯,en,23,user_5616,Engagement / Growth,2025-08-08T09:00:00+00:00,7700000000003000001
kenya to the world,en,0,user_3118,Engagement / Growth,2025-08-08T04:00:00+00:00,7700000000003000001
tutorial for this choreo please 💯,en,0,user_3372,Engagement / Growth,2025-08-07T04:00:00+00:00,7700000000003000001
love 🔥,en,0,user_5144,Engagement / Growth,2025-08-06T23:00:00+00:00,7700000000003000001
lol 🤩🤩,en,0,user_2833,Engagement / Growth,2025-08-08T21:00:00+00:00,7700000000003000001
you ate this 🙌,en,0,user_4263,Engagement / Growth,2025-08-12T07:00:00+00:00,7700000000003000002
east african pride 😭🔥,en,1,user_1034,Engagement / Growth,2025-08-09T15:00:00+00:00,7700000000003000002
fire,en,0,user_4168,Engagement / Growth,2025-08-09T08:00:00+00:00,7700000000003000002
teach me this dance ✨,en,0,user_5002,Engagement / Growth,2025-08-11T22:00:00+00:00,7700000000003000002
you ate this,en,8,user_3651,Engagement / Growth,2025-08-11T20:00:00+00:00,7700000000003000002
