Comment Text,Comment Language,Comment Like Count,Author Nickname,video_type,comment_date,video_id
thank you for saying this,en,0,user_6217,Motivation,2025-08-06T19:00:00+00:00,7700000000005000000
thank you for saying this,en,0,user_7099,Motivation,2025-08-07T10:00:00+00:00,7700000000005000000
love,en,2,user_5590,Motivation,2025-08-08T18:00:00+00:00,7700000000005000000
needed to hear this today,en,0,user_9721,Motivation,2025-08-06T13:00:00+00:00,7700000000005000000
felt every word,en,0,user_7259,Motivation,2025-08-08T14:00:00+00:00,7700000000005000000
yes,en,1,user_1949,Motivation,2025-08-07T10:00:00+00:00,7700000000005000000
needed to hear this today,en,1,user_8283,Motivation,2025-08-06T03:00:00+00:00,7700000000005000000
how do you stay positive,en,3,user_5578,Motivation,2025-08-08T21:00:00+00:00,7700000000005000000
thank you for saying this,en,0,user_3204,Motivation,2025-08-07T16:00:00+00:00,7700000000005000000
wow,en,0,user_9556,Motivation,2025-08-05T22:00:00+00:00,7700000000005000000
love,en,0,user_1977,Motivation,2025-08-06T08:00:00+00:00,7700000000005000000
goals,en,0,user_4392,Motivation,2025-08-05T13:00:00+00:00,7700000000005000000
yes,en,0,user_7469,Motivation,2025-08-07T02:00:00+00:00,7700000000005000000
camera is shaky here,en,0,user_1173,Motivation,2025-08-06T14:00:00+00:00,7700000000005000000
love your honesty,en,0,user_9904,Motivation,2025-08-07T06:00:00+00:00,7700000000005000000
you have no idea how timely this is,en,0,user_7114,Motivation,2025-08-06T07:00:00+00:00,7700000000005000000
camera is shaky here,en,1,user_7816,Motivation,2025-08-05T01:00:00+00:00,7700000000005000000
love your honesty,en,0,user_5619,Motivation,2025-08-06T00:00:00+00:00,7700000000005000000
you have no idea how timely this is,en,0,user_5911,Motivation,2025-08-07T22:00:00+00:00,7700000000005000000
insecurity is real,en,0,user_3651,Motivation,2025-08-05T14:00:00+00:00,7700000000005000000
felt every word,en,2,user_8035,Motivation,2025-08-07T02:00:00+00:00,7700000000005000000
talk about confidence next,en,0,user_6290,Motivation,2025-08-07T12:00:00+00:00,7700000000005000000
insecurity is real,en,1,user_7339,Motivation,2025-08-08T20:00:00+00:00,7700000000005000000
this made me cry,en,26,user_1253,Motivation,2025-08-06T09:00:00+00:00,7700000000005000000
so cool,en,0,user_7123,Motivation,2025-08-10T16:00:00+00:00,7700000000005000001
insecurity is real,en,0,user_9926,Motivation,2025-08-10T00:00:00+00:00,7700000000005000001
love your honesty,en,25,user_5542,Motivation,2025-08-07T19:00:00+00:00,7700000000005000001
love,en,4,user_5079,Motivation,2025-08-07T23:00:00+00:00,7700000000005000001
real talk,en,2,user_3815,Motivation,2025-08-10T10:00:00+00:00,7700000000005000001
real talk,en,0,user_7937,Motivation,2025-08-09T04:00:00+00:00,7700000000005000001
this made me cry,en,0,user_9356,Motivation,2025-08-10T02:00:00+00:00,7700000000005000001
how do you stay positive,en,0,user_3319,Motivation,2025-08-09T11:00:00+00:00,7700000000005000001
love,en,0,user_9249,Motivation,2025-08-10T06:00:00+00:00,7700000000005000001
obsessed,en,1,user_7688,Motivation,2025-08-08T15:00:00+00:00,7700000000005000001
how do you stay positive,en,7,user_6103,Motivation,2025-08-08T23:00:00+00:00,7700000000005000001
you have no idea how timely this is,en,0,user_6655,Motivation,2025-08-08T20:00:00+00:00,7700000000005000001
omg,en,2,user_1771,Motivation,2025-08-07T16:00:00+00:00,7700000000005000001
so cool,en,0,user_2421,Motivation,2025-08-07T12:00:00+00:00,7700000000005000001
do one about comparison please,en,0,user_1195,Motivation,2025-08-10T02:00:00+00:00,7700000000005000001
do one about comparison please,en,0,user_9076,Motivation,2025-08-08T05:00:00+00:00,7700000000005000001
this made me cry,en,0,user_6659,Motivation,2025-08-07T11:00:00+00:00,7700000000005000001
this made me cry,en,6,user_2207,Motivation,2025-08-09T05:00:00+00:00,7700000000005000001
this made my day,en,0,user_6406,Motivation,2025-08-07T17:00:00+00:00,7700000000005000001
thank you for saying this,en,0,user_4798,Motivation,2025-08-07T12:00:00+00:00,7700000000005000001
felt every word,en,0,user_8343,Motivation,2025-08-10T10:00:00+00:00,7700000000005000001
needed to hear this today,en,2,user_7614,Motivation,2025-08-09T02:00:00+00:00,7700000000005000001
camera is shaky here,en,4,user_7353,Motivation,2025-08-09T11:00:00+00:00,7700000000005000001
love,en,9,user_8455,Motivation,2025-08-08T12:00:00+00:00,7700000000005000001
insecurity is real,en,3,user_8740,Motivation,2025-08-10T15:00:00+00:00,7700000000005000001
lol,en,0,user_7884,Motivation,2025-08-08T07:00:00+00:00,7700000000005000001
love your honesty,en,0,user_9189,Motivation,2025-08-11T00:00:00+00:00,7700000000005000001
felt every word,en,0,user_1005,Motivation,2025-08-08T10:00:00+00:00,7700000000005000001
this made me cry,en,0,user_8189,Motivation,2025-08-08T15:00:00+00:00,7700000000005000001
needed to hear this today,en,0,user_6643,Motivation,2025-08-10T21:00:00+00:00,7700000000005000001
love,en,1,user_8924,Motivation,2025-08-09T02:00:00+00:00,7700000000005000001
the music is louder than your voice,en,6,user_5897,Motivation,2025-08-07T07:00:00+00:00,7700000000005000001
talk about confidence next,en,0,user_1839,Motivation,2025-08-09T14:00:00+00:00,7700000000005000001
love your honesty,en,0,user_8365,Motivation,2025-08-09T14:00:00+00:00,7700000000005000001
love your honesty,en,0,user_7347,Motivation,2025-08-10T20:00:00+00:00,7700000000005000002
thank you for saying this,en,0,user_5396,Motivation,2025-08-13T16:00:00+00:00,7700000000005000002
lol,en,0,user_9314,Motivation,2025-08-13T16:00:00+00:00,7700000000005000002
you have no idea how timely this is,en,0,user_6715,Motivation,2025-08-11T10:00:00+00:00,7700000000005000002
do one about comparison please,en,0,user_3981,Motivation,2025-08-13T23:00:00+00:00,7700000000005000002
you have no idea how timely this is,en,0,user_9509,Motivation,2025-08-13T12:00:00+00:00,7700000000005000002
love your honesty,en,0,user_8255,Motivation,2025-08-10T17:00:00+00:00,7700000000005000002
love your honesty,en,0,user_8674,Motivation,2025-08-12T09:00:00+00:00,7700000000005000002
insecurity is real,en,0,user_7656,Motivation,2025-08-10T06:00:00+00:00,7700000000005000002
do one about comparison please,en,0,user_4010,Motivation,2025-08-10T19:00:00+00:00,7700000000005000002
love your honesty,en,0,user_2399,Motivation,2025-08-14T00:00:00+00:00,7700000000005000002
insecurity is real,en,14,user_3130,Motivation,2025-08-10T08:00:00+00:00,7700000000005000002
real talk,en,0,user_1532,Motivation,2025-08-12T23:00:00+00:00,7700000000005000002
real talk,en,0,user_3686,Motivation,2025-08-12T05:00:00+00:00,7700000000005000002
lol,en,0,user_3344,Motivation,2025-08-11T06:00:00+00:00,7700000000005000002
insecurity is real,en,0,user_7210,Motivation,2025-08-11T04:00:00+00:00,7700000000005000002
this made me cry,en,2,user_5236,Motivation,2025-08-10T03:00:00+00:00,7700000000005000002
yes,en,0,user_6632,Motivation,2025-08-13T19:00:00+00:00,7700000000005000002
love,en,0,user_7419,Motivation,2025-08-13T12:00:00+00:00,7700000000005000002
thank you for saying this,en,0,user_9287,Motivation,2025-08-11T18:00:00+00:00,7700000000005000002
this made my day,en,1,user_7267,Motivation,2025-08-11T20:00:00+00:00,7700000000005000002
so cool,en,0,user_9711,Motivation,2025-08-11T10:00:00+00:00,7700000000005000002
felt every word,en,0,user_2907,Motivation,2025-08-12T14:00:00+00:00,7700000000005000002
this made me cry,en,0,user_6932,Motivation,2025-08-13T03:00:00+00:00,7700000000005000002
real talk,en,0,user_1105,Motivation,2025-08-11T21:00:00+00:00,7700000000005000002
goals,en,0,user_5959,Motivation,2025-08-11T18:00:00+00:00,7700000000005000002
talk about confidence next,en,0,user_7951,Motivation,2025-08-10T17:00:00+00:00,7700000000005000002
love your honesty,en,0,user_1449,Motivation,2025-08-12T23:00:00+00:00,7700000000005000002
lol,en,1,user_3765,Motivation,2025-08-13T15:00:00+00:00,7700000000005000002
wow,en,4,user_2524,Motivation,2025-08-10T16:00:00+00:00,7700000000005000002
felt every word,en,0,user_7794,Motivation,2025-08-13T08:00:00+00:00,7700000000005000002
real talk,en,0,user_8732,Motivation,2025-08-11T03:00:00+00:00,7700000000005000002
love your honesty,en,0,user_9509,Motivation,2025-08-13T01:00:00+00:00,7700000000005000002
this made my day,en,0,user_3580,Motivation,2025-08-12T16:00:00+00:00,7700000000005000002
thank you for saying this,en,0,user_7997,Motivation,2025-08-15T14:00:00+00:00,7700000000005000003
omg,en,0,user_9299,Motivation,2025-08-12T02:00:00+00:00,7700000000005000003
the audio is a bit low on this one,en,0,user_1677,Motivation,2025-08-12T01:00:00+00:00,7700000000005000003
thank you for saying this,en,0,user_2299,Motivation,2025-08-12T23:00:00+00:00,7700000000005000003
real talk,en,3,user_1059,Motivation,2025-08-12T20:00:00+00:00,7700000000005000003
love your honesty,en,0,user_7005,Motivation,2025-08-12T11:00:00+00:00,7700000000005000003
same,en,0,user_3252,Motivation,2025-08-13T11:00:00+00:00,7700000000005000003
needed to hear this today,en,0,user_5408,Motivation,2025-08-15T13:00:00+00:00,7700000000005000003
do one about comparison please,en,0,user_1293,Motivation,2025-08-14T04:00:00+00:00,7700000000005000003
do one about comparison please,en,3,user_8328,Motivation,2025-08-12T13:00:00+00:00,7700000000005000003
yes,en,0,user_7524,Motivation,2025-08-13T09:00:00+00:00,7700000000005000003
the captions are hard to read,en,0,user_9894,Motivation,2025-08-12T08:00:00+00:00,7700000000005000003
obsessed,en,27,user_9084,Motivation,2025-08-13T01:00:00+00:00,7700000000005000003
insecurity is real,en,0,user_1171,Motivation,2025-08-12T19:00:00+00:00,7700000000005000003
wow,en,6,user_8297,Motivation,2025-08-14T07:00:00+00:00,7700000000005000003
omg,en,0,user_2236,Motivation,2025-08-15T05:00:00+00:00,7700000000005000003
felt every word,en,0,user_2633,Motivation,2025-08-13T11:00:00+00:00,7700000000005000003
this made me cry,en,0,user_1725,Motivation,2025-08-15T08:00:00+00:00,7700000000005000003
fire,en,0,user_8919,Motivation,2025-08-15T21:00:00+00:00,7700000000005000003
obsessed,en,0,user_2206,Motivation,2025-08-15T14:00:00+00:00,7700000000005000003
wow,en,1,user_6780,Motivation,2025-08-15T02:00:00+00:00,7700000000005000003
this made my day,en,0,user_8372,Motivation,2025-08-12T17:00:00+00:00,7700000000005000003
insecurity is real,en,3,user_6578,Motivation,2025-08-12T01:00:00+00:00,7700000000005000003
wow,en,0,user_7094,Motivation,2025-08-14T17:00:00+00:00,7700000000005000003
needed to hear this today,en,0,user_4457,Motivation,2025-08-13T18:00:00+00:00,7700000000005000003
needed to hear this today,en,0,user_3701,Motivation,2025-08-15T06:00:00+00:00,7700000000005000003
love your honesty,en,0,user_8528,Motivation,2025-08-12T03:00:00+00:00,7700000000005000003
needed to hear this today,en,20,user_4006,Motivation,2025-08-13T15:00:00+00:00,7700000000005000003
love your honesty,en,3,user_7750,Motivation,2025-08-13T15:00:00+00:00,7700000000005000003
how do you stay positive,en,3,user_9936,Motivation,2025-08-12T21:00:00+00:00,7700000000005000003
real talk,en,0,user_8697,Motivation,2025-08-13T07:00:00+00:00,7700000000005000003
do one about comparison please,en,2,user_8864,Motivation,2025-08-15T22:00:00+00:00,7700000000005000003
thank you for saying this,en,0,user_6008,Motivation,2025-08-12T22:00:00+00:00,7700000000005000003
felt every word,en,8,user_8576,Motivation,2025-08-13T02:00:00+00:00,7700000000005000003
the music is louder than your voice,en,23,user_6929,Motivation,2025-08-14T19:00:00+00:00,7700000000005000003
this made me cry,en,3,user_1768,Motivation,2025-08-17T19:00:00+00:00,7700000000005000004
so cool,en,3,user_5863,Motivation,2025-08-16T05:00:00+00:00,7700000000005000004
do one about comparison please,en,11,user_1816,Motivation,2025-08-15T17:00:00+00:00,7700000000005000004
talk about confidence next,en,0,user_6805,Motivation,2025-08-18T01:00:00+00:00,7700000000005000004
fire,en,0,user_3749,Motivation,2025-08-17T14:00:00+00:00,7700000000005000004
make a video about dealing with body shaming,en,0,user_5287,Motivation,2025-08-17T04:00:00+00:00,7700000000005000004
yes,en,0,user_4783,Motivation,2025-08-18T05:00:00+00:00,7700000000005000004
needed to hear this today,en,2,user_1960,Motivation,2025-08-15T07:00:00+00:00,7700000000005000004
real talk,en,0,user_2781,Motivation,2025-08-15T13:00:00+00:00,7700000000005000004
