Comment Text,Comment Language,Comment Like Count,Author Nickname,video_type,comment_date,video_id
same ✨,en,7,user_6640,Food & Cooking,2025-08-03T18:00:00+00:00,7700000000006000000
😍😍,en,16,user_9212,Food & Cooking,2025-08-05T11:00:00+00:00,7700000000006000000
make a one pot meal video,en,0,user_3273,Food & Cooking,2025-08-05T14:00:00+00:00,7700000000006000000
the sizzle sound wow 😂✨,en,2,user_7299,Food & Cooking,2025-08-04T19:00:00+00:00,7700000000006000000
the sizzle sound wow,en,0,user_7567,Food & Cooking,2025-08-04T11:00:00+00:00,7700000000006000000
the sizzle sound wow,en,0,user_1840,Food & Cooking,2025-08-04T16:00:00+00:00,7700000000006000000
this made my day ✨❤️,en,0,user_9351,Food & Cooking,2025-08-03T07:00:00+00:00,7700000000006000000
so cool,en,20,user_5715,Food & Cooking,2025-08-04T21:00:00+00:00,7700000000006000000
lol,en,0,user_1577,Food & Cooking,2025-08-05T11:00:00+00:00,7700000000006000000
my stomach is growling 😭,en,0,user_6486,Food & Cooking,2025-08-04T19:00:00+00:00,7700000000006000000
omg,en,0,user_2976,Food & Cooking,2025-08-06T12:00:00+00:00,7700000000006000000
my stomach is growling,en,0,user_6705,Food & Cooking,2025-08-04T02:00:00+00:00,7700000000006000000
cooking skills on point 🙌,en,0,user_3486,Food & Cooking,2025-08-04T18:00:00+00:00,7700000000006000000
❤️❤️❤️,en,2,user_2427,Food & Cooking,2025-08-04T13:00:00+00:00,7700000000006000000
that looks delicious,en,0,user_8549,Food & Cooking,2025-08-03T11:00:00+00:00,7700000000006000000
cooking skills on point,en,3,user_1041,Food & Cooking,2025-08-04T14:00:00+00:00,7700000000006000000
the sizzle sound wow 🤩,en,0,user_7809,Food & Cooking,2025-08-06T04:00:00+00:00,7700000000006000000
my stomach is growling 🤩,en,0,user_8863,Food & Cooking,2025-08-06T02:00:00+00:00,7700000000006000000
the sizzle sound wow,en,0,user_9284,Food & Cooking,2025-08-05T02:00:00+00:00,7700000000006000000
omg,en,0,user_8872,Food & Cooking,2025-08-05T06:00:00+00:00,7700000000006000000
what seasoning did you use,en,0,user_5799,Food & Cooking,2025-08-05T11:00:00+00:00,7700000000006000000
😍😍,en,1,user_2103,Food & Cooking,2025-08-04T01:00:00+00:00,7700000000006000000
recipe please,en,0,user_6263,Food & Cooking,2025-08-06T17:00:00+00:00,7700000000006000000
cooking skills on point,en,0,user_6219,Food & Cooking,2025-08-04T01:00:00+00:00,7700000000006000000
chef paul,en,3,user_8238,Food & Cooking,2025-08-09T21:00:00+00:00,7700000000006000001
chef paul,en,3,user_3794,Food & Cooking,2025-08-09T07:00:00+00:00,7700000000006000001
cooking skills on point 😭,en,0,user_9523,Food & Cooking,2025-08-09T06:00:00+00:00,7700000000006000001
chef paul,en,0,user_3802,Food & Cooking,2025-08-10T17:00:00+00:00,7700000000006000001
so cool ❤️,en,3,user_9459,Food & Cooking,2025-08-10T23:00:00+00:00,7700000000006000001
cooking skills on point 😂🔥,en,0,user_7278,Food & Cooking,2025-08-07T08:00:00+00:00,7700000000006000001
my stomach is growling ✨,en,6,user_3057,Food & Cooking,2025-08-07T23:00:00+00:00,7700000000006000001
cooking skills on point 😍,en,0,user_5201,Food & Cooking,2025-08-09T18:00:00+00:00,7700000000006000001
that looks delicious 🔥,en,0,user_8939,Food & Cooking,2025-08-10T10:00:00+00:00,7700000000006000001
obsessed ❤️,en,0,user_3973,Food & Cooking,2025-08-09T02:00:00+00:00,7700000000006000001
my stomach is growling,en,0,user_7007,Food & Cooking,2025-08-10T12:00:00+00:00,7700000000006000001
🔥🔥🔥,en,3,user_9966,Food & Cooking,2025-08-09T03:00:00+00:00,7700000000006000001
that looks delicious,en,0,user_2550,Food & Cooking,2025-08-10T13:00:00+00:00,7700000000006000001
