Comment Text,Comment Language,Comment Like Count,Author Nickname,video_type,comment_date,video_id
so beautiful,en,1,princessmia,Lifestyle & Vlog,2025-10-01T14:00:00+00:00,7600000000000000000
love your vibe,en,0,creative_gift_grl,Lifestyle & Vlog,2025-10-02T03:00:00+00:00,7600000000000000000
same,en,0,sarah_loves_faith,Lifestyle & Vlog,2025-10-02T14:00:00+00:00,7600000000000000000
love your vibe,en,0,best_friend_goals,Lifestyle & Vlog,2025-10-02T04:00:00+00:00,7600000000000000000
wow,en,1,gym_girl,Lifestyle & Vlog,2025-10-02T20:00:00+00:00,7600000000000000000
My faith is restored,en,0,tiktok_trends,Lifestyle & Vlog,2025-10-03T00:00:00+00:00,7600000000000000000
love,en,0,family_first,Lifestyle & Vlog,2025-10-01T22:00:00+00:00,7600000000000000000
wow,en,1,makeup_girl92,Lifestyle & Vlog,2025-10-02T00:00:00+00:00,7600000000000000000
keep praying queen,en,2,music_is_life,Lifestyle & Vlog,2025-10-02T12:00:00+00:00,7600000000000000000
Amen,en,2,dance_queen14,Lifestyle & Vlog,2025-10-01T05:00:00+00:00,7600000000000000000
this hit different,en,0,lifestyle_blogger,Lifestyle & Vlog,2025-10-02T16:00:00+00:00,7600000000000000000
yum,en,0,makeup_girl92,Lifestyle & Vlog,2025-10-03T17:00:00+00:00,7600000000000000001
Needed this today,en,0,blessed_life23,Lifestyle & Vlog,2025-10-03T15:00:00+00:00,7600000000000000001
So inspiring,en,15,sister_squad,Lifestyle & Vlog,2025-10-04T20:00:00+00:00,7600000000000000001
yum,en,1,creative_gift_grl,Lifestyle & Vlog,2025-10-03T14:00:00+00:00,7600000000000000001
this hit different,en,0,best_friend_goals,Lifestyle & Vlog,2025-10-03T13:00:00+00:00,7600000000000000001
yes queen serve God,en,0,fashion_forward,Lifestyle & Vlog,2025-10-06T07:00:00+00:00,7600000000000000002
faith is everything,en,0,dance_queen14,Lifestyle & Vlog,2025-10-05T08:00:00+00:00,7600000000000000002
love your vibe,en,0,gym_girl,Lifestyle & Vlog,2025-10-06T13:00:00+00:00,7600000000000000002
this hit different,en,0,student_life,Lifestyle & Vlog,2025-10-05T08:00:00+00:00,7600000000000000002
Amen,en,1,blessed_life23,Lifestyle & Vlog,2025-10-06T16:00:00+00:00,7600000000000000002
thank you for this,en,0,fashion_forward,Lifestyle & Vlog,2025-10-08T00:00:00+00:00,7600000000000000003
faith is everything,en,0,sarah_loves_faith,Lifestyle & Vlog,2025-10-08T11:00:00+00:00,7600000000000000003
This is so beautiful,en,2,tiktok_trends,Lifestyle & Vlog,2025-10-08T17:00:00+00:00,7600000000000000003
love,en,0,spiritual_soul,Lifestyle & Vlog,2025-10-07T00:00:00+00:00,7600000000000000003
Needed this today,en,0,gift_guru,Lifestyle & Vlog,2025-10-07T06:00:00+00:00,7600000000000000003
pure soul,en,0,lifestyle_blogger,Lifestyle & Vlog,2025-10-07T09:00:00+00:00,7600000000000000003
love your vibe,en,5,family_first,Lifestyle & Vlog,2025-10-07T00:00:00+00:00,7600000000000000003
so beautiful,en,0,gift_guru,Lifestyle & Vlog,2025-10-07T23:00:00+00:00,7600000000000000003
same,en,1,traveler_vibes,Lifestyle & Vlog,2025-10-07T05:00:00+00:00,7600000000000000003
love your vibe,en,1,traveler_vibes,Lifestyle & Vlog,2025-10-10T18:00:00+00:00,7600000000000000004
Needed this today,en,0,gym_girl,Lifestyle & Vlog,2025-10-10T14:00:00+00:00,7600000000000000004
love your vibe,en,1,gift_guru,Lifestyle & Vlog,2025-10-10T21:00:00+00:00,7600000000000000004
blessed beyond measure,en,0,coffee_addict,Lifestyle & Vlog,2025-10-10T09:00:00+00:00,7600000000000000004
same,en,0,best_friend_goals,Lifestyle & Vlog,2025-10-09T01:00:00+00:00,7600000000000000004
