Comment Text,Comment Language,Comment Like Count,Author Nickname,video_type,comment_date,video_id
how did you move to germany 🙌😭,en,0,user_1657,Travel & Places,2025-08-08T22:00:00+00:00,7700000000002000000
culture shocks are so real 💯🤩,en,0,user_1467,Travel & Places,2025-08-06T06:00:00+00:00,7700000000002000000
the architecture wow,en,27,user_4251,Travel & Places,2025-08-05T21:00:00+00:00,7700000000002000000
germany is on my bucket list,en,1,user_2481,Travel & Places,2025-08-08T01:00:00+00:00,7700000000002000000
germany is on my bucket list,en,0,user_3708,Travel & Places,2025-08-06T16:00:00+00:00,7700000000002000000
same ✨,en,0,user_4869,Travel & Places,2025-08-07T11:00:00+00:00,7700000000002000000
how expensive is berlin 🔥😍,en,0,user_7456,Travel & Places,2025-08-06T03:00:00+00:00,7700000000002000000
😭❤️,en,2,user_4977,Travel & Places,2025-08-08T18:00:00+00:00,7700000000002000000
make a video about german food,en,0,user_6359,Travel & Places,2025-08-05T13:00:00+00:00,7700000000002000000
this city is beautiful,en,0,user_9750,Travel & Places,2025-08-06T13:00:00+00:00,7700000000002000000
how expensive is berlin,en,0,user_4632,Travel & Places,2025-08-05T10:00:00+00:00,7700000000002000000
goals,en,0,user_1026,Travel & Places,2025-08-08T06:00:00+00:00,7700000000002000000
your journey is inspiring,en,1,user_9191,Travel & Places,2025-08-08T07:00:00+00:00,7700000000002000000
obsessed,en,0,user_3947,Travel & Places,2025-08-06T01:00:00+00:00,7700000000002000000
obsessed,en,1,user_5276,Travel & Places,2025-08-07T07:00:00+00:00,7700000000002000000
🔥🔥🔥,en,1,user_8617,Travel & Places,2025-08-07T06:00:00+00:00,7700000000002000000
how expensive is berlin 😂🔥,en,0,user_9306,Travel & Places,2025-08-05T11:00:00+00:00,7700000000002000000
berlin looks amazing,en,23,user_7921,Travel & Places,2025-08-07T02:00:00+00:00,7700000000002000000
make a video about german food,en,0,user_8377,Travel & Places,2025-08-05T07:00:00+00:00,7700000000002000000
where is this in berlin,en,2,user_2829,Travel & Places,2025-08-07T17:00:00+00:00,7700000000002000000
culture shocks are so real,en,4,user_3463,Travel & Places,2025-08-05T23:00:00+00:00,7700000000002000000
how expensive is berlin,en,0,user_8454,Travel & Places,2025-08-05T01:00:00+00:00,7700000000002000000
this made my day 🙌💯,en,0,user_5378,Travel & Places,2025-08-09T23:00:00+00:00,7700000000002000001
where is this in berlin ❤️🔥,en,0,user_1599,Travel & Places,2025-08-08T23:00:00+00:00,7700000000002000001
germany is on my bucket list 😍,en,0,user_9084,Travel & Places,2025-08-10T21:00:00+00:00,7700000000002000001
the architecture wow,en,1,user_9577,Travel & Places,2025-08-10T08:00:00+00:00,7700000000002000001
the audio is a bit low on this one 😍,en,14,user_7257,Travel & Places,2025-08-11T01:00:00+00:00,7700000000002000001
berlin looks amazing 😭🔥,en,19,user_2298,Travel & Places,2025-08-10T18:00:00+00:00,7700000000002000001
i felt this as an immigrant too 🤩🙌,en,0,user_4993,Travel & Places,2025-08-10T08:00:00+00:00,7700000000002000001
the architecture wow,en,0,user_8158,Travel & Places,2025-08-11T17:00:00+00:00,7700000000002000001
i felt this as an immigrant too 🙌,en,9,user_5668,Travel & Places,2025-08-09T12:00:00+00:00,7700000000002000001
fire 🙌❤️,en,0,user_6212,Travel & Places,2025-08-09T11:00:00+00:00,7700000000002000001
yes,en,0,user_5715,Travel & Places,2025-08-08T13:00:00+00:00,7700000000002000001
i felt this as an immigrant too,en,0,user_6386,Travel & Places,2025-08-11T22:00:00+00:00,7700000000002000001
visa tips please ✨😂,en,0,user_9175,Travel & Places,2025-08-10T22:00:00+00:00,7700000000002000001
germany is on my bucket list,en,0,user_1528,Travel & Places,2025-08-09T03:00:00+00:00,7700000000002000001
berlin looks amazing,en,0,user_6657,Travel & Places,2025-08-11T13:00:00+00:00,7700000000002000001
👏👏,en,0,user_5781,Travel & Places,2025-08-08T11:00:00+00:00,7700000000002000001
camera is shaky here 🙌,en,0,user_7805,Travel & Places,2025-08-09T17:00:00+00:00,7700000000002000001
the architecture wow,en,0,user_4845,Travel & Places,2025-08-08T03:00:00+00:00,7700000000002000001
germany is on my bucket list,en,4,user_2588,Travel & Places,2025-08-10T01:00:00+00:00,7700000000002000001
lol,en,0,user_3606,Travel & Places,2025-08-10T03:00:00+00:00,7700000000002000001
culture shocks are so real,en,2,user_5569,Travel & Places,2025-08-11T23:00:00+00:00,7700000000002000001
this city is beautiful 👏👏,en,0,user_7618,Travel & Places,2025-08-09T17:00:00+00:00,7700000000002000001
the architecture wow,en,0,user_3910,Travel & Places,2025-08-10T16:00:00+00:00,7700000000002000001
your journey is inspiring,en,0,user_7852,Travel & Places,2025-08-15T16:00:00+00:00,7700000000002000002
yes,en,0,user_9247,Travel & Places,2025-08-14T05:00:00+00:00,7700000000002000002
this city is beautiful,en,0,user_5095,Travel & Places,2025-08-12T11:00:00+00:00,7700000000002000002
your journey is inspiring,en,11,user_7378,Travel & Places,2025-08-12T22:00:00+00:00,7700000000002000002
germany is on my bucket list,en,0,user_7046,Travel & Places,2025-08-14T23:00:00+00:00,7700000000002000002
germany is on my bucket list,en,1,user_6287,Travel & Places,2025-08-15T21:00:00+00:00,7700000000002000002
teach me german 😭🙌,en,0,user_4963,Travel & Places,2025-08-12T17:00:00+00:00,7700000000002000002
culture shocks are so real,en,2,user_3609,Travel & Places,2025-08-12T23:00:00+00:00,7700000000002000002
the audio is a bit low on this one 🙌,en,0,user_9515,Travel & Places,2025-08-13T08:00:00+00:00,7700000000002000002
berlin looks amazing,en,28,user_2982,Travel & Places,2025-08-14T13:00:00+00:00,7700000000002000002
this city is beautiful,en,2,user_8877,Travel & Places,2025-08-15T20:00:00+00:00,7700000000002000002
🔥🔥🔥,en,3,user_1653,Travel & Places,2025-08-15T21:00:00+00:00,7700000000002000002
visa tips please,en,0,user_3032,Travel & Places,2025-08-13T23:00:00+00:00,7700000000002000002
so cool,en,0,user_2831,Travel & Places,2025-08-12T14:00:00+00:00,7700000000002000002
😍😍,en,1,user_4982,Travel & Places,2025-08-15T21:00:00+00:00,7700000000002000002
lol 😭,en,1,user_5259,Travel & Places,2025-08-14T14:00:00+00:00,7700000000002000002
where is this in berlin 🙌👏,en,0,user_3294,Travel & Places,2025-08-13T20:00:00+00:00,7700000000002000002
berlin looks amazing 👏💯,en,0,user_3593,Travel & Places,2025-08-12T19:00:00+00:00,7700000000002000002
this city is beautiful 😂❤️,en,0,user_4467,Travel & Places,2025-08-16T20:00:00+00:00,7700000000002000003
visa tips please 💯💯,en,23,user_8814,Travel & Places,2025-08-19T03:00:00+00:00,7700000000002000003
the architecture wow,en,0,user_9209,Travel & Places,2025-08-19T08:00:00+00:00,7700000000002000003
your journey is inspiring,en,0,user_3770,Travel & Places,2025-08-17T17:00:00+00:00,7700000000002000003
camera is shaky here,en,0,user_2060,Travel & Places,2025-08-18T20:00:00+00:00,7700000000002000003
fire 🙌💯,en,0,user_4226,Travel & Places,2025-08-17T20:00:00+00:00,7700000000002000003
the music is louder than your voice,en,10,user_9587,Travel & Places,2025-08-17T22:00:00+00:00,7700000000002000003
the architecture wow,en,0,user_2619,Travel & Places,2025-08-17T06:00:00+00:00,7700000000002000003
the architecture wow,en,0,user_9810,Travel & Places,2025-08-17T19:00:00+00:00,7700000000002000003
berlin looks amazing,en,0,user_5009,Travel & Places,2025-08-16T11:00:00+00:00,7700000000002000003
germany is on my bucket list,en,1,user_4741,Travel & Places,2025-08-17T09:00:00+00:00,7700000000002000003
germany is on my bucket list 👏🔥,en,0,user_2043,Travel & Places,2025-08-19T17:00:00+00:00,7700000000002000003
berlin looks amazing 👏,en,0,user_8606,Travel & Places,2025-08-16T17:00:00+00:00,7700000000002000003
i felt this as an immigrant too 😍,en,0,user_2366,Travel & Places,2025-08-16T13:00:00+00:00,7700000000002000003
💯,en,0,user_8982,Travel & Places,2025-08-18T13:00:00+00:00,7700000000002000003
culture shocks are so real,en,9,user_8252,Travel & Places,2025-08-17T15:00:00+00:00,7700000000002000003
❤️❤️❤️,en,19,user_7671,Travel & Places,2025-08-19T11:00:00+00:00,7700000000002000003
love 👏🤩,en,0,user_9719,Travel & Places,2025-08-19T05:00:00+00:00,7700000000002000003
how expensive is berlin,en,0,user_8209,Travel & Places,2025-08-17T08:00:00+00:00,7700000000002000003
germany is on my bucket list,en,0,user_9348,Travel & Places,2025-08-16T15:00:00+00:00,7700000000002000003
❤️❤️❤️,en,0,user_9824,Travel & Places,2025-08-20T15:00:00+00:00,7700000000002000004
lol,en,0,user_9221,Travel & Places,2025-08-20T00:00:00+00:00,7700000000002000004
visa tips please,en,3,user_4445,Travel & Places,2025-08-20T16:00:00+00:00,7700000000002000004
the architecture wow 💯😂,en,1,user_6335,Travel & Places,2025-08-22T02:00:00+00:00,7700000000002000004
this city is beautiful,en,0,user_5413,Travel & Places,2025-08-21T19:00:00+00:00,7700000000002000004
your journey is inspiring,en,2,user_3375,Travel & Places,2025-08-20T06:00:00+00:00,7700000000002000004
make a video about german food,en,0,user_6046,Travel & Places,2025-08-20T16:00:00+00:00,7700000000002000004
i felt this as an immigrant too,en,2,user_1906,Travel & Places,2025-08-21T07:00:00+00:00,7700000000002000004
how did you move to germany,en,1,user_4313,Travel & Places,2025-08-21T05:00:00+00:00,7700000000002000004
the architecture wow 🔥😭,en,0,user_4267,Travel & Places,2025-08-20T03:00:00+00:00,7700000000002000004
your journey is inspiring,en,0,user_4983,Travel & Places,2025-08-20T04:00:00+00:00,7700000000002000004
where is this in berlin,en,0,user_1753,Travel & Places,2025-08-19T21:00:00+00:00,7700000000002000004
how expensive is berlin,en,0,user_7144,Travel & Places,2025-08-22T13:00:00+00:00,7700000000002000004
no way 😭❤️,en,0,user_2212,Travel & Places,2025-08-19T08:00:00+00:00,7700000000002000004
this city is beautiful,en,0,user_3464,Travel & Places,2025-08-20T18:00:00+00:00,7700000000002000004
how did you move to germany,en,0,user_6371,Travel & Places,2025-08-22T04:00:00+00:00,7700000000002000004
this city is beautiful 🙌😍,en,3,user_6143,Travel & Places,2025-08-22T02:00:00+00:00,7700000000002000004
your journey is inspiring,en,0,user_6263,Travel & Places,2025-08-20T23:00:00+00:00,7700000000002000004
this made my day ❤️💯,en,0,user_2952,Travel & Places,2025-08-21T12:00:00+00:00,7700000000002000004
where is this in berlin,en,3,user_1987,Travel & Places,2025-08-22T11:00:00+00:00,7700000000002000004
visa tips please,en,0,user_9261,Travel & Places,2025-08-21T18:00:00+00:00,7700000000002000004
your journey is inspiring 🙌💯,en,0,user_2840,Travel & Places,2025-08-20T18:00:00+00:00,7700000000002000004
👏👏,en,1,user_8675,Travel & Places,2025-08-21T21:00:00+00:00,7700000000002000004
germany is on my bucket list,en,2,user_5536,Travel & Places,2025-08-22T07:00:00+00:00,7700000000002000004
video is too short make it longer,en,0,user_6567,Travel & Places,2025-08-21T12:00:00+00:00,7700000000002000004
this city is beautiful,en,4,user_7577,Travel & Places,2025-08-21T11:00:00+00:00,7700000000002000004
goals,en,3,user_8499,Travel & Places,2025-08-23T07:00:00+00:00,7700000000002000005
i felt this as an immigrant too,en,9,user_3500,Travel & Places,2025-08-24T12:00:00+00:00,7700000000002000005
germany is on my bucket list 🔥,en,1,user_3086,Travel & Places,2025-08-22T01:00:00+00:00,7700000000002000005
teach me german 🤩🙌,en,0,user_3675,Travel & Places,2025-08-23T22:00:00+00:00,7700000000002000005
germany is on my bucket list,en,0,user_6821,Travel & Places,2025-08-23T07:00:00+00:00,7700000000002000005
❤️❤️❤️,en,0,user_7145,Travel & Places,2025-08-21T04:00:00+00:00,7700000000002000005
