Comment Text,Comment Language,Comment Like Count,Author Nickname,video_type,comment_date,video_id
the blend on the eyes wow 🙌,en,4,user_7912,Hair & Beauty,2025-08-05T04:00:00+00:00,7700000000000000000
fire 👏,en,3,user_9928,Hair & Beauty,2025-08-05T05:00:00+00:00,7700000000000000000
🤩✨,en,0,user_1106,Hair & Beauty,2025-08-07T06:00:00+00:00,7700000000000000000
the lashes tho 🤩,en,0,user_2519,Hair & Beauty,2025-08-05T21:00:00+00:00,7700000000000000000
this made my day,en,3,user_8527,Hair & Beauty,2025-08-07T01:00:00+00:00,7700000000000000000
🔥🔥🔥,en,0,user_5803,Hair & Beauty,2025-08-07T21:00:00+00:00,7700000000000000000
the lashes tho,en,1,user_4733,Hair & Beauty,2025-08-08T09:00:00+00:00,7700000000000000000
the blend on the eyes wow,en,0,user_8428,Hair & Beauty,2025-08-06T14:00:00+00:00,7700000000000000000
this look is everything,en,0,user_5374,Hair & Beauty,2025-08-08T10:00:00+00:00,7700000000000000000
your skin is glowing,en,0,user_5010,Hair & Beauty,2025-08-08T18:00:00+00:00,7700000000000000000
the captions are hard to read,en,3,user_4598,Hair & Beauty,2025-08-05T21:00:00+00:00,7700000000000000000
makeup tutorial please 😂,en,0,user_2084,Hair & Beauty,2025-08-08T16:00:00+00:00,7700000000000000000
the lashes tho ✨🤩,en,0,user_5339,Hair & Beauty,2025-08-06T04:00:00+00:00,7700000000000000000
💯,en,0,user_8019,Hair & Beauty,2025-08-05T18:00:00+00:00,7700000000000000000
what products do you use,en,0,user_9085,Hair & Beauty,2025-08-08T03:00:00+00:00,7700000000000000000
your skin is glowing 💯,en,0,user_2040,Hair & Beauty,2025-08-05T12:00:00+00:00,7700000000000000000
teach me this look,en,11,user_2876,Hair & Beauty,2025-08-07T02:00:00+00:00,7700000000000000000
face card never declines,en,0,user_5808,Hair & Beauty,2025-08-08T16:00:00+00:00,7700000000000000000
yes,en,6,user_9201,Hair & Beauty,2025-08-07T08:00:00+00:00,7700000000000000000
this look is everything,en,0,user_9689,Hair & Beauty,2025-08-10T17:00:00+00:00,7700000000000000001
best glam on my fyp 😂😂,en,0,user_1949,Hair & Beauty,2025-08-08T01:00:00+00:00,7700000000000000001
your skin is glowing 😂🤩,en,0,user_3060,Hair & Beauty,2025-08-09T07:00:00+00:00,7700000000000000001
the highlight is unreal 🤩🤩,en,3,user_4295,Hair & Beauty,2025-08-08T17:00:00+00:00,7700000000000000001
how do you do your eyeliner,en,0,user_2982,Hair & Beauty,2025-08-11T20:00:00+00:00,7700000000000000001
no way 👏,en,0,user_1964,Hair & Beauty,2025-08-09T08:00:00+00:00,7700000000000000001
wow,en,0,user_4899,Hair & Beauty,2025-08-09T06:00:00+00:00,7700000000000000001
the blend on the eyes wow,en,3,user_8744,Hair & Beauty,2025-08-09T12:00:00+00:00,7700000000000000001
you look stunning 🙌,en,0,user_7735,Hair & Beauty,2025-08-09T08:00:00+00:00,7700000000000000001
the makeup is perfect,en,14,user_1993,Hair & Beauty,2025-08-10T12:00:00+00:00,7700000000000000001
your skin is glowing 👏,en,0,user_4006,Hair & Beauty,2025-08-10T04:00:00+00:00,7700000000000000001
the audio is a bit low on this one,en,8,user_2604,Hair & Beauty,2025-08-09T12:00:00+00:00,7700000000000000001
the highlight is unreal,en,18,user_3724,Hair & Beauty,2025-08-08T07:00:00+00:00,7700000000000000001
video is too short make it longer,en,5,user_7209,Hair & Beauty,2025-08-10T05:00:00+00:00,7700000000000000001
face card never declines,en,2,user_7930,Hair & Beauty,2025-08-08T01:00:00+00:00,7700000000000000001
the highlight is unreal,en,0,user_4111,Hair & Beauty,2025-08-11T18:00:00+00:00,7700000000000000001
wow,en,0,user_6138,Hair & Beauty,2025-08-09T14:00:00+00:00,7700000000000000001
😭❤️,en,0,user_9701,Hair & Beauty,2025-08-08T08:00:00+00:00,7700000000000000001
👏👏,en,0,user_4044,Hair & Beauty,2025-08-08T21:00:00+00:00,7700000000000000001
the blend on the eyes wow,en,8,user_5033,Hair & Beauty,2025-08-08T09:00:00+00:00,7700000000000000001
your skin is glowing,en,0,user_9565,Hair & Beauty,2025-08-11T03:00:00+00:00,7700000000000000001
the blend on the eyes wow,en,0,user_5351,Hair & Beauty,2025-08-09T17:00:00+00:00,7700000000000000001
obsessed,en,4,user_1152,Hair & Beauty,2025-08-10T03:00:00+00:00,7700000000000000001
your skin is glowing 👏,en,0,user_6718,Hair & Beauty,2025-08-10T11:00:00+00:00,7700000000000000001
the lashes tho 😂💯,en,3,user_9666,Hair & Beauty,2025-08-08T09:00:00+00:00,7700000000000000001
the highlight is unreal 🤩,en,0,user_2891,Hair & Beauty,2025-08-08T02:00:00+00:00,7700000000000000001
this look is everything 💯,en,0,user_5325,Hair & Beauty,2025-08-08T14:00:00+00:00,7700000000000000001
the audio is a bit low on this one 😂🔥,en,0,user_3143,Hair & Beauty,2025-08-10T17:00:00+00:00,7700000000000000001
same,en,3,user_3426,Hair & Beauty,2025-08-11T02:00:00+00:00,7700000000000000002
obsessed,en,10,user_1653,Hair & Beauty,2025-08-13T08:00:00+00:00,7700000000000000002
goals,en,0,user_7658,Hair & Beauty,2025-08-12T22:00:00+00:00,7700000000000000002
the blend on the eyes wow,en,16,user_7755,Hair & Beauty,2025-08-14T08:00:00+00:00,7700000000000000002
no way,en,0,user_5065,Hair & Beauty,2025-08-11T04:00:00+00:00,7700000000000000002
lol,en,0,user_8711,Hair & Beauty,2025-08-12T11:00:00+00:00,7700000000000000002
❤️❤️❤️,en,0,user_4728,Hair & Beauty,2025-08-12T05:00:00+00:00,7700000000000000002
fire,en,0,user_2137,Hair & Beauty,2025-08-12T05:00:00+00:00,7700000000000000002
whats the lipstick shade,en,28,user_6425,Hair & Beauty,2025-08-12T12:00:00+00:00,7700000000000000002
so cool 🔥👏,en,0,user_6139,Hair & Beauty,2025-08-11T04:00:00+00:00,7700000000000000002
the highlight is unreal ❤️,en,1,user_9518,Hair & Beauty,2025-08-13T08:00:00+00:00,7700000000000000002
the blend on the eyes wow,en,0,user_6409,Hair & Beauty,2025-08-13T21:00:00+00:00,7700000000000000002
makeup tutorial please,en,0,user_6067,Hair & Beauty,2025-08-14T08:00:00+00:00,7700000000000000002
teach me this look,en,0,user_4143,Hair & Beauty,2025-08-14T14:00:00+00:00,7700000000000000002
you look stunning,en,8,user_5930,Hair & Beauty,2025-08-13T06:00:00+00:00,7700000000000000002
the makeup is perfect 😭,en,0,user_6279,Hair & Beauty,2025-08-13T04:00:00+00:00,7700000000000000002
what products do you use,en,3,user_3780,Hair & Beauty,2025-08-13T12:00:00+00:00,7700000000000000002
👏👏,en,3,user_6491,Hair & Beauty,2025-08-14T13:00:00+00:00,7700000000000000002
the blend on the eyes wow,en,0,user_4262,Hair & Beauty,2025-08-11T12:00:00+00:00,7700000000000000002
goals,en,1,user_8461,Hair & Beauty,2025-08-11T19:00:00+00:00,7700000000000000002
the blend on the eyes wow,en,0,user_7547,Hair & Beauty,2025-08-13T06:00:00+00:00,7700000000000000002
yes,en,4,user_7965,Hair & Beauty,2025-08-12T08:00:00+00:00,7700000000000000002
👏👏,en,0,user_5082,Hair & Beauty,2025-08-12T05:00:00+00:00,7700000000000000002
camera is shaky here,en,30,user_6198,Hair & Beauty,2025-08-11T16:00:00+00:00,7700000000000000002
the highlight is unreal,en,7,user_3607,Hair & Beauty,2025-08-13T09:00:00+00:00,7700000000000000002
best glam on my fyp 😂,en,0,user_9540,Hair & Beauty,2025-08-15T00:00:00+00:00,7700000000000000002
no way,en,0,user_3471,Hair & Beauty,2025-08-16T07:00:00+00:00,7700000000000000003
what products do you use,en,0,user_7678,Hair & Beauty,2025-08-16T06:00:00+00:00,7700000000000000003
you look stunning ✨💯,en,4,user_7232,Hair & Beauty,2025-08-16T19:00:00+00:00,7700000000000000003
this made my day 😂🤩,en,0,user_9947,Hair & Beauty,2025-08-17T14:00:00+00:00,7700000000000000003
best glam on my fyp 😭✨,en,2,user_3704,Hair & Beauty,2025-08-18T06:00:00+00:00,7700000000000000003
the highlight is unreal 👏🙌,en,0,user_8022,Hair & Beauty,2025-08-17T12:00:00+00:00,7700000000000000003
this look is everything ✨😭,en,0,user_7211,Hair & Beauty,2025-08-15T18:00:00+00:00,7700000000000000003
you look stunning 😭,en,1,user_6733,Hair & Beauty,2025-08-16T12:00:00+00:00,7700000000000000003
the makeup is perfect,en,5,user_1333,Hair & Beauty,2025-08-16T05:00:00+00:00,7700000000000000003
same,en,0,user_4571,Hair & Beauty,2025-08-18T08:00:00+00:00,7700000000000000003
the lashes tho 💯,en,0,user_6096,Hair & Beauty,2025-08-17T12:00:00+00:00,7700000000000000003
face card never declines,en,7,user_7498,Hair & Beauty,2025-08-15T14:00:00+00:00,7700000000000000003
🤩✨,en,3,user_4978,Hair & Beauty,2025-08-18T20:00:00+00:00,7700000000000000003
face card never declines,en,1,user_1672,Hair & Beauty,2025-08-15T14:00:00+00:00,7700000000000000003
the lashes tho 🔥😭,en,0,user_8102,Hair & Beauty,2025-08-16T21:00:00+00:00,7700000000000000003
best glam on my fyp,en,0,user_9548,Hair & Beauty,2025-08-16T23:00:00+00:00,7700000000000000003
💯,en,2,user_8136,Hair & Beauty,2025-08-18T12:00:00+00:00,7700000000000000003
the lashes tho,en,1,user_5569,Hair & Beauty,2025-08-18T22:00:00+00:00,7700000000000000003
❤️❤️❤️,en,0,user_7209,Hair & Beauty,2025-08-17T10:00:00+00:00,7700000000000000003
no way ✨,en,0,user_5581,Hair & Beauty,2025-08-16T20:00:00+00:00,7700000000000000003
face card never declines,en,0,user_4130,Hair & Beauty,2025-08-18T05:00:00+00:00,7700000000000000003
😍😍,en,0,user_4937,Hair & Beauty,2025-08-15T11:00:00+00:00,7700000000000000003
goals 😭👏,en,0,user_6419,Hair & Beauty,2025-08-18T14:00:00+00:00,7700000000000000004
face card never declines 😍,en,0,user_2958,Hair & Beauty,2025-08-18T22:00:00+00:00,7700000000000000004
this look is everything ❤️👏,en,3,user_5636,Hair & Beauty,2025-08-21T00:00:00+00:00,7700000000000000004
face card never declines ✨,en,1,user_5494,Hair & Beauty,2025-08-17T13:00:00+00:00,7700000000000000004
the highlight is unreal 🙌,en,1,user_1200,Hair & Beauty,2025-08-17T06:00:00+00:00,7700000000000000004
teach me this look,en,0,user_1841,Hair & Beauty,2025-08-20T02:00:00+00:00,7700000000000000004
best glam on my fyp 😭,en,0,user_1878,Hair & Beauty,2025-08-18T09:00:00+00:00,7700000000000000004
🤩✨,en,4,user_5066,Hair & Beauty,2025-08-17T20:00:00+00:00,7700000000000000004
you look stunning,en,1,user_9561,Hair & Beauty,2025-08-17T16:00:00+00:00,7700000000000000004
camera is shaky here ✨🙌,en,3,user_2625,Hair & Beauty,2025-08-19T01:00:00+00:00,7700000000000000004
face card never declines,en,0,user_3847,Hair & Beauty,2025-08-18T03:00:00+00:00,7700000000000000004
yes,en,2,user_5771,Hair & Beauty,2025-08-19T23:00:00+00:00,7700000000000000004
obsessed,en,0,user_4824,Hair & Beauty,2025-08-17T05:00:00+00:00,7700000000000000004
the blend on the eyes wow,en,0,user_3441,Hair & Beauty,2025-08-18T10:00:00+00:00,7700000000000000004
your skin is glowing 👏😂,en,7,user_3037,Hair & Beauty,2025-08-18T11:00:00+00:00,7700000000000000004
you look stunning,en,0,user_9090,Hair & Beauty,2025-08-19T12:00:00+00:00,7700000000000000004
wow,en,3,user_5102,Hair & Beauty,2025-08-19T09:00:00+00:00,7700000000000000004
🤩✨,en,0,user_1339,Hair & Beauty,2025-08-17T04:00:00+00:00,7700000000000000004
the makeup is perfect,en,0,user_9502,Hair & Beauty,2025-08-20T15:00:00+00:00,7700000000000000004
best glam on my fyp ✨😍,en,0,user_7744,Hair & Beauty,2025-08-22T15:00:00+00:00,7700000000000000005
camera is shaky here,en,0,user_8451,Hair & Beauty,2025-08-23T17:00:00+00:00,7700000000000000005
how do you do your eyeliner 😂😂,en,0,user_9889,Hair & Beauty,2025-08-20T12:00:00+00:00,7700000000000000005
what products do you use,en,2,user_8242,Hair & Beauty,2025-08-22T12:00:00+00:00,7700000000000000005
💯,en,0,user_5719,Hair & Beauty,2025-08-20T07:00:00+00:00,7700000000000000005
best glam on my fyp 💯,en,0,user_1224,Hair & Beauty,2025-08-22T09:00:00+00:00,7700000000000000005
what products do you use,en,7,user_2924,Hair & Beauty,2025-08-22T23:00:00+00:00,7700000000000000005
best glam on my fyp,en,0,user_5479,Hair & Beauty,2025-08-23T11:00:00+00:00,7700000000000000005
best glam on my fyp ✨,en,8,user_3236,Hair & Beauty,2025-08-22T06:00:00+00:00,7700000000000000005
😍😍,en,0,user_9318,Hair & Beauty,2025-08-20T09:00:00+00:00,7700000000000000005
face card never declines,en,3,user_9022,Hair & Beauty,2025-08-21T11:00:00+00:00,7700000000000000005
teach me this look 😭✨,en,0,user_4912,Hair & Beauty,2025-08-20T20:00:00+00:00,7700000000000000005
teach me this look 💯😂,en,0,user_3492,Hair & Beauty,2025-08-23T02:00:00+00:00,7700000000000000005
this look is everything,en,0,user_2644,Hair & Beauty,2025-08-22T16:00:00+00:00,7700000000000000005
❤️❤️❤️,en,0,user_3361,Hair & Beauty,2025-08-22T09:00:00+00:00,7700000000000000005
this look is everything ✨🙌,en,2,user_9742,Hair & Beauty,2025-08-22T05:00:00+00:00,7700000000000000005
best glam on my fyp,en,0,user_2121,Hair & Beauty,2025-08-22T01:00:00+00:00,7700000000000000005
face card never declines,en,2,user_2612,Hair & Beauty,2025-08-21T07:00:00+00:00,7700000000000000005
your skin is glowing,en,1,user_1753,Hair & Beauty,2025-08-23T10:00:00+00:00,7700000000000000005
face card never declines,en,0,user_5000,Hair & Beauty,2025-08-21T18:00:00+00:00,7700000000000000005
what products do you use 🙌,en,0,user_4945,Hair & Beauty,2025-08-22T20:00:00+00:00,7700000000000000005
this look is everything 😭🙌,en,7,user_5712,Hair & Beauty,2025-08-22T16:00:00+00:00,7700000000000000005
your skin is glowing,en,0,user_5901,Hair & Beauty,2025-08-23T15:00:00+00:00,7700000000000000005
face card never declines,en,0,user_7302,Hair & Beauty,2025-08-23T10:00:00+00:00,7700000000000000005
🔥🔥🔥,en,0,user_5847,Hair & Beauty,2025-08-22T14:00:00+00:00,7700000000000000005
teach me this look 🤩,en,2,user_4770,Hair & Beauty,2025-08-23T18:00:00+00:00,7700000000000000005
the blend on the eyes wow,en,3,user_3240,Hair & Beauty,2025-08-23T06:00:00+00:00,7700000000000000005
wow 🔥✨,en,0,user_5835,Hair & Beauty,2025-08-23T09:00:00+00:00,7700000000000000005
you ate this,en,0,user_8894,Engagement / Growth,2025-08-26T20:00:00+00:00,7700000000000000006
you ate this,en,0,user_2233,Engagement / Growth,2025-08-25T14:00:00+00:00,7700000000000000006
so smooth,en,2,user_6992,Engagement / Growth,2025-08-24T19:00:00+00:00,7700000000000000006
the moves tho 😭,en,3,user_5295,Engagement / Growth,2025-08-24T12:00:00+00:00,7700000000000000006
do the new trend next,en,0,user_4830,Engagement / Growth,2025-08-27T03:00:00+00:00,7700000000000000006
💯,en,0,user_4626,Engagement / Growth,2025-08-26T13:00:00+00:00,7700000000000000006
❤️❤️❤️,en,6,user_7689,Engagement / Growth,2025-08-27T11:00:00+00:00,7700000000000000006
wow 😍❤️,en,0,user_7367,Engagement / Growth,2025-08-24T15:00:00+00:00,7700000000000000006
do the new trend next,en,0,user_3531,Engagement / Growth,2025-08-26T11:00:00+00:00,7700000000000000006
clean footwork,en,6,user_1536,Engagement / Growth,2025-08-26T06:00:00+00:00,7700000000000000006
what song is this,en,0,user_6942,Engagement / Growth,2025-08-27T17:00:00+00:00,7700000000000000006
you ate this,en,22,user_1992,Engagement / Growth,2025-08-24T13:00:00+00:00,7700000000000000006
yes ❤️😍,en,0,user_2124,Engagement / Growth,2025-08-30T13:00:00+00:00,7700000000000000007
fire,en,0,user_3417,Engagement / Growth,2025-08-29T23:00:00+00:00,7700000000000000007
same,en,0,user_3858,Engagement / Growth,2025-08-30T05:00:00+00:00,7700000000000000007
the moves tho 💯❤️,en,0,user_3854,Engagement / Growth,2025-08-27T15:00:00+00:00,7700000000000000007
😍😍,en,0,user_2041,Engagement / Growth,2025-08-28T10:00:00+00:00,7700000000000000007
what song is this,en,0,user_9254,Engagement / Growth,2025-08-29T13:00:00+00:00,7700000000000000007
the moves tho,en,9,user_9543,Engagement / Growth,2025-08-28T05:00:00+00:00,7700000000000000007
the audio is a bit low on this one 😂😭,en,0,user_8267,Engagement / Growth,2025-08-28T15:00:00+00:00,7700000000000000007
you ate this,en,0,user_5505,Engagement / Growth,2025-08-27T10:00:00+00:00,7700000000000000007
serving energy,en,0,user_9692,Engagement / Growth,2025-08-30T08:00:00+00:00,7700000000000000007
serving energy,en,0,user_8398,Engagement / Growth,2025-09-03T12:00:00+00:00,7700000000000000008
what song is this,en,2,user_7992,Engagement / Growth,2025-09-01T06:00:00+00:00,7700000000000000008
you ate this,en,2,user_2099,Engagement / Growth,2025-09-01T17:00:00+00:00,7700000000000000008
the moves tho,en,2,user_3131,Engagement / Growth,2025-08-31T12:00:00+00:00,7700000000000000008
💯,en,0,user_3002,Engagement / Growth,2025-09-03T00:00:00+00:00,7700000000000000008
do the new trend next,en,0,user_1842,Engagement / Growth,2025-09-02T05:00:00+00:00,7700000000000000008
you ate this 😍,en,0,user_2773,Engagement / Growth,2025-09-01T13:00:00+00:00,7700000000000000008
you ate this 👏😂,en,3,user_1430,Engagement / Growth,2025-09-01T21:00:00+00:00,7700000000000000008
you understood the assignment ❤️,en,2,user_6751,Engagement / Growth,2025-09-03T06:00:00+00:00,7700000000000000008
same,en,0,user_3324,Engagement / Growth,2025-08-31T01:00:00+00:00,7700000000000000008
what song is this 💯💯,en,0,user_2391,Engagement / Growth,2025-09-06T01:00:00+00:00,7700000000000000009
wow,en,0,user_7947,Engagement / Growth,2025-09-04T07:00:00+00:00,7700000000000000009
clean footwork ✨,en,0,user_8972,Engagement / Growth,2025-09-06T15:00:00+00:00,7700000000000000009
the moves tho 🔥,en,0,user_4460,Engagement / Growth,2025-09-06T20:00:00+00:00,7700000000000000009
you ate this 😭,en,0,user_3116,Engagement / Growth,2025-09-04T18:00:00+00:00,7700000000000000009
so smooth,en,2,user_2180,Engagement / Growth,2025-09-06T01:00:00+00:00,7700000000000000009
the moves tho,en,0,user_2275,Engagement / Growth,2025-09-06T03:00:00+00:00,7700000000000000009
serving energy,en,2,user_2887,Engagement / Growth,2025-09-05T17:00:00+00:00,7700000000000000009
no way 😂🤩,en,0,user_2734,Engagement / Growth,2025-09-06T04:00:00+00:00,7700000000000000009
what song is this,en,0,user_6083,Engagement / Growth,2025-09-05T08:00:00+00:00,7700000000000000009
what song is this,en,0,user_2868,Engagement / Growth,2025-09-08T00:00:00+00:00,7700000000000000009
same 🙌,en,3,user_2234,Engagement / Growth,2025-09-08T19:00:00+00:00,7700000000000000010
you understood the assignment,en,3,user_8354,Engagement / Growth,2025-09-08T23:00:00+00:00,7700000000000000010
serving energy,en,21,user_6179,Engagement / Growth,2025-09-11T16:00:00+00:00,7700000000000000010
what song is this,en,0,user_5500,Engagement / Growth,2025-09-08T20:00:00+00:00,7700000000000000010
👏👏,en,0,user_8565,Engagement / Growth,2025-09-11T04:00:00+00:00,7700000000000000010
this made my day,en,0,user_2479,Engagement / Growth,2025-09-10T10:00:00+00:00,7700000000000000010
clean footwork,en,0,user_1672,Engagement / Growth,2025-09-11T07:00:00+00:00,7700000000000000010
