video_id,description,view_count,like_count,comment_count,share_count,upload_date,hashtags,url,scraped_at,video_type
7638339125430586657,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7638339125430586657,2026-05-26T14:27:46.322840+00:00,Unknown
7628554889295187232,#CapCut #foodtok #fyp ,750,85,1,0,2026-04-14T10:09:19+00:00,"[""CapCut"", ""foodtok"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7628554889295187232,2026-05-26T22:41:16.850279+00:00,Food & Cooking
7623547468596137249,#CapCut #gardentok #fyp ,1149,79,7,2,2026-03-31T22:17:51+00:00,"[""CapCut"", ""gardentok"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7623547468596137249,2026-05-26T22:41:16.850279+00:00,Lifestyle & Vlog
7618552622630341910,#braids #fyp  #hairbraiding #protectivestyles #blackgirlhair ,443,24,2,0,2026-03-18T11:15:17+00:00,"[""braids"", ""fyp"", ""hairbraiding"", ""protectivestyles"", ""blackgirlhair""]",https://www.tiktok.com/@ichbinnelo/video/7618552622630341910,2026-05-26T22:41:16.866676+00:00,Hair & Beauty
7613990333419949334,Easy Yummy Food Ideas   #creatorsearchinsights #easyfood #foodies ,484,39,1,0,2026-03-06T04:11:41+00:00,"[""creatorsearchinsights"", ""easyfood"", ""foodies""]",https://www.tiktok.com/@ichbinnelo/video/7613990333419949334,2026-05-26T22:41:16.865651+00:00,Food & Cooking
7613875585495862550,this and starting my seedlings #CapCut #foodtok ,511,46,5,0,2026-03-05T20:45:59+00:00,"[""CapCut"", ""foodtok""]",https://www.tiktok.com/@ichbinnelo/video/7613875585495862550,2026-05-26T22:41:16.865651+00:00,Food & Cooking
7565060431761640726,would you eat this pumpkin spice latte cake? #baking #fyp #foodtok #baking ,608,62,3,1,2025-10-25T07:38:19+00:00,"[""baking"", ""fyp"", ""foodtok"", ""baking""]",https://www.tiktok.com/@ichbinnelo/video/7565060431761640726,2026-05-26T22:41:16.850279+00:00,Food & Cooking
7560021643737795842,lazy girl dinner #fyp #foodtok ,1084,58,4,1,2025-10-11T17:45:08+00:00,"[""fyp"", ""foodtok""]",https://www.tiktok.com/@ichbinnelo/video/7560021643737795842,2026-05-26T22:41:16.850279+00:00,Food & Cooking
7557311915052059926,easy apple cake  #CapCut #foodtok #baking #applecake #fyp ,517,51,2,0,2025-10-04T10:30:02+00:00,"[""CapCut"", ""foodtok"", ""baking"", ""applecake"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7557311915052059926,2026-05-26T22:41:16.862345+00:00,Food & Cooking
7555187696642149654,#CapCut #foodtok #pastarecipes  #fyp #pesto ,566,66,2,0,2025-09-28T17:06:59+00:00,"[""CapCut"", ""foodtok"", ""pastarecipes"", ""fyp"", ""pesto""]",https://www.tiktok.com/@ichbinnelo/video/7555187696642149654,2026-05-26T22:41:16.850279+00:00,Food & Cooking
7554338232624827670,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7554338232624827670,2026-05-26T14:27:47.778675+00:00,Unknown
7553434079404821782,you need is a heavy cream #CapCut #foodtok #fyp #cooking ,674,59,4,0,2025-09-23T23:42:09+00:00,"[""CapCut"", ""foodtok"", ""fyp"", ""cooking""]",https://www.tiktok.com/@ichbinnelo/video/7553434079404821782,2026-05-26T22:41:16.850279+00:00,Food & Cooking
7553083949875072278,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7553083949875072278,2026-05-26T14:27:47.905216+00:00,Unknown
7552088674876394774,"the things you may not clearly see are cinnamon,apricot jam, date syrup #CapCut #cooking #cheesecake #foodtok #nobakecheesecake ",945,92,10,2,2025-09-20T08:41:12+00:00,"[""CapCut"", ""cooking"", ""cheesecake"", ""foodtok"", ""nobakecheesecake""]",https://www.tiktok.com/@ichbinnelo/video/7552088674876394774,2026-05-26T22:41:16.850279+00:00,Food & Cooking
7551650987832904982,#CapCut #cooking #italy #fyp ,654,62,8,0,2025-09-19T04:23:01+00:00,"[""CapCut"", ""cooking"", ""italy"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7551650987832904982,2026-05-26T22:41:16.850279+00:00,Food & Cooking
7477554393101995286,#CapCut #motivation #dailyquotes #fyp #foryoupage❤️❤️ ,686,59,4,1,2025-03-03T12:10:08+00:00,"[""CapCut"", ""motivation"", ""dailyquotes"", ""fyp"", ""foryoupage\u2764\ufe0f\u2764\ufe0f""]",https://www.tiktok.com/@ichbinnelo/video/7477554393101995286,2026-05-26T22:41:16.850279+00:00,Motivation
7466361744483536150,#CapCut #fyp ,659,76,7,1,2025-02-01T08:17:01+00:00,"[""CapCut"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7466361744483536150,2026-05-26T22:41:16.850279+00:00,Lifestyle & Vlog
